Name,Category,ImageUrl,Description (English),Description (Indonesian)
Artisan Rattan Rope Lounge Chair,Armchairs,https://i.ibb.co/20xK3nZt/download-jpg.jpg,"Elevate your home with a lounge chair that celebrates craftsmanship, elegance, and timeless design.

Materials & Quality: Handcrafted from high-quality rattan with intricately woven rope detailing along the sides, ensuring both durability and a unique aesthetic.

Design & Finish: Professionally designed with fine threading and expert finishing, offering a sophisticated, exclusive look.

Measurements & Fit: Thoughtfully sized for comfortable seating, perfect for living rooms, patios, or serene corners of your home.

Additional Details: Each piece is unique, showcasing meticulous handcrafting, and ready to transform your space with style and elegance.","Tingkatkan rumah Anda dengan kursi santai yang merayakan keahlian, keanggunan, dan desain yang tak lekang oleh waktu.

Bahan & Kualitas: Dibuat secara manual dari rotan berkualitas tinggi dengan detail tali anyaman yang rumit di sepanjang sisi, memastikan daya tahan sekaligus estetika yang unik.

Desain & Finishing: Dirancang secara profesional dengan benang halus dan sentuhan akhir ahli, menawarkan tampilan yang canggih dan eksklusif.

Ukuran & Kesesuaian: Berukuran dengan cermat untuk kenyamanan duduk, sempurna untuk ruang tamu, teras, atau sudut tenang di rumah Anda.

Detail Tambahan: Setiap bagian unik, menampilkan kerajinan tangan yang teliti, dan siap mengubah ruang Anda dengan gaya dan keanggunan."
Shima Rattan Lounge Chair,Armchairs,https://i.ibb.co/FL7yqJcD/download-jpg.jpg,"Bring a touch of tropical serenity into your home with a chair that combines natural materials and gentle curves for a light, inviting presence.

Materials & Quality: Crafted from natural rattan with a smooth, white base and soft, durable finish for lasting use.

Design & Finish: Features elegantly curving arms and a natural walnut finish that highlights the rattan’s beauty, creating a sweet and airy look.

Measurements & Fit: Compact yet comfortable at 56x57x77cm, perfect for creating a cozy reading nook or accent corner.

Additional Details: Designed as an occasional armchair, offering both style and relaxation in any space.","Bawa sentuhan ketenangan tropis ke dalam rumah Anda dengan kursi yang memadukan bahan alami dan lekukan lembut untuk menghadirkan kesan ringan dan mengundang.

Bahan & Kualitas: Dibuat dari rotan alami dengan dasar putih yang halus dan lapisan akhir yang lembut serta tahan lama untuk penggunaan jangka panjang.

Desain & Finishing: Dilengkapi dengan sandaran tangan yang melengkung elegan dan finishing walnut alami yang menonjolkan keindahan rotan, menciptakan tampilan manis dan lapang.

Ukuran & Kesesuaian: Kompak namun nyaman dengan ukuran 56x57x77cm, sempurna untuk menciptakan sudut baca yang nyaman atau sudut aksen.

Detail Tambahan: Dirancang sebagai kursi berlengan sesekali, menawarkan gaya dan relaksasi di setiap ruang."
Serene Comfort Lazy Chair,Armchairs,https://i.ibb.co/Zz4MgfQV/download-jpg.jpg,"Embrace the perfect harmony of modern design and effortless relaxation with a chair crafted to elevate both style and comfort.

Materials & Quality: Made with premium-quality materials and finishing, ensuring durability and lasting comfort.

Design & Finish: Timeless and sophisticated design, meticulously crafted to bring elegance to any space.

Measurements & Fit: Thoughtfully designed proportions for comfortable seating in any room.

Additional Details: Ideal for relaxing and unwinding, blending seamlessly with contemporary interiors.","Rasakan harmoni sempurna antara desain modern dan relaksasi tanpa usaha dengan kursi yang dirancang untuk meningkatkan gaya dan kenyamanan.

Bahan & Kualitas: Dibuat dengan bahan dan finishing berkualitas premium, memastikan daya tahan dan kenyamanan yang tahan lama.

Desain & Finishing: Desain yang abadi dan canggih, dibuat dengan cermat untuk menghadirkan keanggunan di setiap ruang.

Ukuran & Kesesuaian: Proporsi yang dirancang dengan penuh pertimbangan untuk kenyamanan duduk di setiap ruangan.

Detail Tambahan: Ideal untuk bersantai dan melepas penat, berpadu mulus dengan interior kontemporer."
Cloud Teak Sofa,Armchairs,https://i.ibb.co/ycKDyXnD/download-jpg.jpg,"Experience the perfect blend of minimalism and comfort with a sofa designed to feel both inviting and effortlessly stylish.

Materials & Quality: Made from premium dark teak wood with soft, plush white cushions for lasting comfort.

Design & Finish: Low-profile design close to the floor, offering a fluffy, elegant look that complements any color scheme.

Measurements & Fit: Thoughtfully proportioned to fit seamlessly in various living spaces while providing ample seating.

Additional Details: Crafted from dried, export-quality exotic wood, with stock available and worldwide shipping","Rasakan perpaduan sempurna antara minimalisme dan kenyamanan dengan sofa yang dirancang untuk terasa mengundang sekaligus bergaya tanpa usaha.

Bahan & Kualitas: Terbuat dari kayu jati gelap premium dengan bantalan putih lembut dan empuk untuk kenyamanan yang tahan lama.

Desain & Finishing: Desain profil rendah dekat dengan lantai, menawarkan tampilan empuk dan elegan yang melengkapi skema warna apa pun.

Ukuran & Kecocokan: Diproporsikan dengan cermat agar pas secara mulus di berbagai ruang tamu sambil memberikan tempat duduk yang luas.

Detail Tambahan: Dibuat dari kayu eksotis kering berkualitas ekspor, dengan stok tersedia dan pengiriman ke seluruh dunia"
Haven Teak Armchair,Armchairs,https://i.ibb.co/ycKDyXnD/download-jpg.jpg,"Relax in refined comfort with a chair that combines soft, inviting fabrics and warm teak wood for a cozy yet stylish seating experience.

Materials & Quality: Crafted from high-quality brown teak wood with light grey fabric covering the arms and cushions, including a supportive back pillow for added comfort.

Design & Finish: Finished as requested, offering a balanced mix of elegance and softness that enhances any interior.

Measurements & Fit: Generously sized for individual comfort, perfect for living rooms, reading nooks, or lounge areas.

Additional Details: Made from dried, export-quality exotic wood, with stock available and worldwide shipping.","Bersantailah dalam kenyamanan yang elegan dengan kursi yang memadukan kain lembut dan mengundang serta kayu jati hangat untuk pengalaman duduk yang nyaman namun bergaya.

Bahan & Kualitas: Dibuat dari kayu jati cokelat berkualitas tinggi dengan kain abu-abu muda yang melapisi sandaran tangan dan bantalan, termasuk bantal punggung yang mendukung untuk kenyamanan tambahan.

Desain & Finishing: Diselesaikan sesuai permintaan, menawarkan perpaduan seimbang antara keanggunan dan kelembutan yang memperindah setiap interior.

Ukuran & Kecocokan: Berukuran luas untuk kenyamanan individu, sempurna untuk ruang tamu, sudut baca, atau area lounge.

Detail Tambahan: Terbuat dari kayu eksotis kering berkualitas ekspor, tersedia stok dan pengiriman ke seluruh dunia."
Harmony Teak Recliner Chair,Armchairs,https://i.ibb.co/5xcfZDMV/download-jpg.jpg,"Unwind in a chair designed for gentle movement and ultimate relaxation, combining classic craftsmanship with modern comfort.

Materials & Quality: Made from premium teak wood with soft, supportive cushions for lasting comfort.

Design & Finish: Features a small leg rest and a subtle rocking function, allowing you to stretch out and relax effortlessly.

Measurements & Fit: Thoughtfully sized for individual comfort, ideal for living rooms, reading corners, or cozy lounges.

Additional Details: Crafted from dried, export-quality exotic wood, with stock available and worldwide shipping.","Bersantailah di kursi yang dirancang untuk gerakan lembut dan relaksasi maksimal, menggabungkan keahlian klasik dengan kenyamanan modern.

Bahan & Kualitas: Terbuat dari kayu jati premium dengan bantalan yang lembut dan mendukung untuk kenyamanan tahan lama.

Desain & Finishing: Dilengkapi dengan sandaran kaki kecil dan fungsi goyang yang halus, memungkinkan Anda untuk meregangkan tubuh dan bersantai dengan mudah.

Ukuran & Kecocokan: Dirancang dengan ukuran yang dipikirkan secara matang untuk kenyamanan individu, ideal untuk ruang tamu, pojok membaca, atau lounge yang nyaman.

Detail Tambahan: Dibuat dari kayu eksotis kering berkualitas ekspor, dengan stok tersedia dan pengiriman ke seluruh dunia."
Conway Two-Tone Sideboard,Sideboards,https://i.ibb.co/LXp44wD7/download-jpg.jpg,"Bring coastal charm and practical elegance into your home with a sideboard designed for both style and storage.

Materials & Quality: Crafted from high-quality wood with a durable, distressed blue finish for a relaxed, coastal look.

Design & Finish: Two-tone design adds visual interest, blending seamlessly with a variety of interior styles.

Measurements & Fit: Extra-large storage provides ample space for organizing your essentials while maintaining a sleek profile.

Additional Details: Perfect for living rooms, dining areas, or entryways, combining functionality with timeless coastal appeal.","Bawa pesona pesisir dan keanggunan praktis ke dalam rumah Anda dengan sideboard yang dirancang untuk gaya dan penyimpanan sekaligus.

Bahan & Kualitas: Dibuat dari kayu berkualitas tinggi dengan finishing biru yang tahan lama dan terkesan usang untuk tampilan santai ala pesisir.

Desain & Finishing: Desain dua warna menambah daya tarik visual, berpadu mulus dengan berbagai gaya interior.

Ukuran & Kesesuaian: Penyimpanan ekstra besar menyediakan ruang yang luas untuk mengatur kebutuhan Anda sambil tetap mempertahankan profil yang ramping.

Detail Tambahan: Sempurna untuk ruang tamu, ruang makan, atau area masuk, menggabungkan fungsionalitas dengan daya tarik pesisir yang abadi."
Aura Minimalist Sideboard,Sideboards,https://i.ibb.co/r2BQkyzx/download-jpg.jpg,"Elevate your space with a sideboard that combines clean lines, functional design, and timeless elegance.

Materials & Quality: Crafted from premium teak wood, ensuring durability and a refined, natural finish.

Design & Finish: Minimalist design with a smooth, polished surface that complements any interior style.

Measurements & Fit: Thoughtfully proportioned to provide practical storage while maintaining a sleek, unobtrusive presence.

Additional Details: Made from dried, export-quality exotic wood, with stock available and worldwide shipping.","Tingkatkan ruang Anda dengan bufet yang menggabungkan garis-garis bersih, desain fungsional, dan keanggunan yang abadi.

Bahan & Kualitas: Dibuat dari kayu jati premium, memastikan daya tahan dan hasil akhir alami yang halus.

Desain & Finishing: Desain minimalis dengan permukaan halus dan mengilap yang melengkapi gaya interior apa pun.

Ukuran & Kesesuaian: Proporsi yang dipikirkan dengan matang untuk memberikan penyimpanan praktis sambil tetap mempertahankan tampilan ramping dan tidak mencolok.

Detail Tambahan: Terbuat dari kayu eksotis kering berkualitas ekspor, dengan stok tersedia dan pengiriman ke seluruh dunia."
Luxe Teal Minimalist Sideboard,Sideboards,https://i.ibb.co/4ZPpRkFV/download-jpg.jpg,"Transform your space with a sideboard that blends unique color, modern design, and subtle metallic accents for a striking yet elegant presence.

Materials & Quality: Crafted from premium teak wood with a distinctive teal finish and durable construction for lasting use.

Design & Finish: Features glowing metallic handles for effortless opening, combining functionality with contemporary style.

Measurements & Fit: Thoughtfully sized to provide practical storage while enhancing the aesthetic of any room.

Additional Details: Made from dried, export-quality exotic wood, with stock available and worldwide shipping.","Ubah ruang Anda dengan sebuah sideboard yang memadukan warna unik, desain modern, dan aksen logam halus untuk kehadiran yang mencolok namun elegan.

Bahan & Kualitas: Dibuat dari kayu jati premium dengan sentuhan akhir teal yang khas dan konstruksi tahan lama untuk penggunaan jangka panjang.

Desain & Finishing: Dilengkapi dengan pegangan logam yang berkilau untuk pembukaan yang mudah, menggabungkan fungsionalitas dengan gaya kontemporer.

Ukuran & Kecocokan: Berukuran dengan cermat untuk memberikan penyimpanan yang praktis sekaligus meningkatkan estetika di setiap ruangan.

Detail Tambahan: Terbuat dari kayu eksotis kering berkualitas ekspor, stok tersedia dan pengiriman ke seluruh dunia."
Trio Harmony Minimalist Sideboard,Sideboards,https://i.ibb.co/XfyhsWrJ/download-jpg.jpg,"Enhance your home with a sideboard that stands out through its unique design, elegant craftsmanship, and harmonious combination of elements.

Materials & Quality: Made from premium teak wood, featuring two complementary pieces that add depth and visual interest.

Design & Finish: Finished in a distinctive, carefully curated color that highlights the natural beauty of the wood while offering a modern, sophisticated look.

Measurements & Fit: Thoughtfully proportioned to provide ample storage while serving as a striking centerpiece in any room.

Additional Details: Crafted from dried, export-quality exotic wood, with stock available and worldwide shipping.","Tingkatkan rumah Anda dengan sebuah sideboard yang menonjol melalui desain unik, pengerjaan elegan, dan perpaduan elemen yang harmonis.

Material & Kualitas: Terbuat dari kayu jati premium, menampilkan dua bagian pelengkap yang menambah kedalaman dan daya tarik visual.

Desain & Finishing: Diselesaikan dengan warna khas yang dipilih dengan cermat untuk menonjolkan keindahan alami kayu sekaligus memberikan tampilan modern dan elegan.

Ukuran & Kesesuaian: Diproporsikan dengan cermat untuk menyediakan ruang penyimpanan yang luas sekaligus menjadi pusat perhatian yang mencolok di setiap ruangan.

Detail Tambahan: Dibuat dari kayu eksotis kering berkualitas ekspor, dengan stok tersedia dan pengiriman ke seluruh dunia."
Solace Teak Dresser,Sideboards,https://i.ibb.co/76zpfRC/download-jpg.jpg,"Bring elegance and practicality to your space with a dresser that combines refined craftsmanship and timeless design.

Materials & Quality: Crafted from premium teak wood, ensuring durability and a polished, high-quality finish.

Design & Finish: Finished as requested, offering a sleek and sophisticated look that complements any interior.

Measurements & Fit: Thoughtfully sized to provide ample storage while maintaining a balanced, stylish presence.

Additional Details: Made from dried, export-quality exotic wood, with stock available and worldwide shipping.","Bawa keanggunan dan kepraktisan ke ruang Anda dengan dresser yang menggabungkan keahlian yang halus dan desain yang tak lekang oleh waktu.

Bahan & Kualitas: Dibuat dari kayu jati premium, memastikan daya tahan dan hasil akhir yang halus serta berkualitas tinggi.

Desain & Finishing: Diselesaikan sesuai permintaan, menawarkan tampilan ramping dan canggih yang melengkapi setiap interior.

Ukuran & Kesesuaian: Dirancang dengan ukuran yang dipikirkan matang untuk memberikan ruang penyimpanan yang luas sambil tetap menjaga tampilan yang seimbang dan bergaya.

Detail Tambahan: Terbuat dari kayu eksotis kering berkualitas ekspor, dengan stok tersedia dan pengiriman ke seluruh dunia."
Lumen White Minimalist Sideboard,Sideboards,https://i.ibb.co/gL534Y9d/download-jpg.jpg,"Illuminate your space with a sideboard that combines clean, bright design with timeless teak craftsmanship.

Materials & Quality: Crafted from premium teak wood with a bright white finish, ensuring durability and elegance.

Design & Finish: Minimalist design that complements any interior style, offering a sleek and modern aesthetic.

Measurements & Fit: Thoughtfully sized to provide practical storage while maintaining a light and unobtrusive presence.

Additional Details: Made from dried, export-quality exotic wood, with stock available and worldwide shipping.","Terangi ruang Anda dengan sideboard yang menggabungkan desain bersih dan cerah dengan keahlian abadi dari kayu jati.

Bahan & Kualitas: Dibuat dari kayu jati premium dengan sentuhan akhir putih cerah, memastikan daya tahan dan keanggunan.

Desain & Finishing: Desain minimalis yang melengkapi gaya interior apa pun, menawarkan estetika yang ramping dan modern.

Ukuran & Kesesuaian: Ukuran yang dipikirkan dengan matang untuk memberikan penyimpanan praktis sambil tetap menjaga kesan ringan dan tidak mencolok.

Detail Tambahan: Terbuat dari kayu eksotis kering berkualitas ekspor, stok tersedia dan pengiriman ke seluruh dunia."
